seq,test,journal,correlation,pvalue,lagtime,test2,pvalue2,absCorrelation
1,A_ImpFac_PubNum,eBioMedicine,-0.00235267,0.989891459,-4,A_ImpFac_PubNum_lag _4,-0.989891459,0.00235267
2,A_ImpFac_PubNum,eBioMedicine,0.236537782,0.202736099,-3,A_ImpFac_PubNum_lag _3,0.202736099,0.236537782
3,A_ImpFac_PubNum,eBioMedicine,-0.273614703,0.140626969,-2,A_ImpFac_PubNum_lag _2,-0.140626969,0.273614703
4,A_ImpFac_PubNum,eBioMedicine,-0.305823191,0.099576898,-1,A_ImpFac_PubNum_lag _1,-0.099576898,0.305823191
5,A_ImpFac_PubNum,Lancet Glob Health,-0.080073871,0.66631496,-4,A_ImpFac_PubNum_lag _4,-0.66631496,0.080073871
6,A_ImpFac_PubNum,Lancet Glob Health,0.241776579,0.192914087,-3,A_ImpFac_PubNum_lag _3,0.192914087,0.241776579
7,A_ImpFac_PubNum,Lancet Glob Health,-0.26973116,0.14634964,-2,A_ImpFac_PubNum_lag _2,-0.14634964,0.26973116
8,A_ImpFac_PubNum,Lancet Glob Health,0.122148132,0.51067448,-1,A_ImpFac_PubNum_lag _1,0.51067448,0.122148132
9,A_ImpFac_PubNum,BMJ Open,-0.123594742,0.505680837,-4,A_ImpFac_PubNum_lag _4,-0.505680837,0.123594742
10,A_ImpFac_PubNum,BMJ Open,0.283230043,0.127199132,-3,A_ImpFac_PubNum_lag _3,0.127199132,0.283230043
11,A_ImpFac_PubNum,BMJ Open,-0.072761253,0.695182839,-2,A_ImpFac_PubNum_lag _2,-0.695182839,0.072761253
12,A_ImpFac_PubNum,BMJ Open,0.167653139,0.366610933,-1,A_ImpFac_PubNum_lag _1,0.366610933,0.167653139
13,A_ImpFac_PubNum,Nat Commun,0.07250124,0.696217777,-4,A_ImpFac_PubNum_lag _4,0.696217777,0.07250124
14,A_ImpFac_PubNum,Nat Commun,0.003420631,0.985303268,-3,A_ImpFac_PubNum_lag _3,0.985303268,0.003420631
15,A_ImpFac_PubNum,Nat Commun,-0.074923075,0.686600215,-2,A_ImpFac_PubNum_lag _2,-0.686600215,0.074923075
16,A_ImpFac_PubNum,Nat Commun,0.211839316,0.253957477,-1,A_ImpFac_PubNum_lag _1,0.253957477,0.211839316
17,A_ImpFac_PubNum,Sci Adv,-0.260063489,0.161368207,-4,A_ImpFac_PubNum_lag _4,-0.161368207,0.260063489
18,A_ImpFac_PubNum,Sci Adv,-0.179813125,0.332882926,-3,A_ImpFac_PubNum_lag _3,-0.332882926,0.179813125
19,A_ImpFac_PubNum,Sci Adv,-0.48652738,0.0087922,-2,A_ImpFac_PubNum_lag _2,-0.0087922,0.48652738
20,A_ImpFac_PubNum,Sci Adv,0.06035394,0.745169028,-1,A_ImpFac_PubNum_lag _1,0.745169028,0.06035394
21,A_ImpFac_PubNum,JAMA Netw Open,NA,NA,-4,A_ImpFac_PubNum_lag _4,NA,NA
22,A_ImpFac_PubNum,JAMA Netw Open,NA,NA,-3,A_ImpFac_PubNum_lag _3,NA,NA
23,A_ImpFac_PubNum,JAMA Netw Open,-0.44391618,0.016822618,-2,A_ImpFac_PubNum_lag _2,-0.016822618,0.44391618
24,A_ImpFac_PubNum,JAMA Netw Open,-0.514210099,0.005621032,-1,A_ImpFac_PubNum_lag _1,-0.005621032,0.514210099
25,A_ImpFac_PubNum,Cell Rep,-0.090512103,0.625958886,-4,A_ImpFac_PubNum_lag _4,-0.625958886,0.090512103
26,A_ImpFac_PubNum,Cell Rep,0.026997964,0.884404154,-3,A_ImpFac_PubNum_lag _3,0.884404154,0.026997964
27,A_ImpFac_PubNum,Cell Rep,-0.217991467,0.240427081,-2,A_ImpFac_PubNum_lag _2,-0.240427081,0.217991467
28,A_ImpFac_PubNum,Cell Rep,0.032838949,0.85963159,-1,A_ImpFac_PubNum_lag _1,0.85963159,0.032838949
29,A_ImpFac_PubNum,Heliyon,NA,NA,-4,A_ImpFac_PubNum_lag _4,NA,NA
30,A_ImpFac_PubNum,Heliyon,NA,NA,-3,A_ImpFac_PubNum_lag _3,NA,NA
31,A_ImpFac_PubNum,Heliyon,NA,NA,-2,A_ImpFac_PubNum_lag _2,NA,NA
32,A_ImpFac_PubNum,Heliyon,NA,NA,-1,A_ImpFac_PubNum_lag _1,NA,NA
33,A_ImpFac_PubNum,Molecules,0.085816706,0.643983005,-4,A_ImpFac_PubNum_lag _4,0.643983005,0.085816706
34,A_ImpFac_PubNum,Molecules,0.099036105,0.593808108,-3,A_ImpFac_PubNum_lag _3,0.593808108,0.099036105
35,A_ImpFac_PubNum,Molecules,-0.623913268,0.000779775,-2,A_ImpFac_PubNum_lag _2,-0.000779775,0.623913268
36,A_ImpFac_PubNum,Molecules,0.414790881,0.025501683,-1,A_ImpFac_PubNum_lag _1,0.025501683,0.414790881
37,A_ImpFac_PubNum,BMC Bioinformatics,0.099894257,0.590613614,-4,A_ImpFac_PubNum_lag _4,0.590613614,0.099894257
38,A_ImpFac_PubNum,BMC Bioinformatics,-0.145743296,0.432540543,-3,A_ImpFac_PubNum_lag _3,-0.432540543,0.145743296
39,A_ImpFac_PubNum,BMC Bioinformatics,0.02371635,0.898373371,-2,A_ImpFac_PubNum_lag _2,0.898373371,0.02371635
40,A_ImpFac_PubNum,BMC Bioinformatics,-0.107042526,0.564316703,-1,A_ImpFac_PubNum_lag _1,-0.564316703,0.107042526
41,A_ImpFac_PubNum,Genome Biol,-0.088947143,0.631942167,-4,A_ImpFac_PubNum_lag _4,-0.631942167,0.088947143
42,A_ImpFac_PubNum,Genome Biol,0.058348215,0.753357937,-3,A_ImpFac_PubNum_lag _3,0.753357937,0.058348215
43,A_ImpFac_PubNum,Genome Biol,0.48828332,0.008551401,-2,A_ImpFac_PubNum_lag _2,0.008551401,0.48828332
44,A_ImpFac_PubNum,Genome Biol,0.145678763,0.432744351,-1,A_ImpFac_PubNum_lag _1,0.432744351,0.145678763
45,A_ImpFac_PubNum,PLoS One,0.133887436,0.47090588,-4,A_ImpFac_PubNum_lag _4,0.47090588,0.133887436
46,A_ImpFac_PubNum,PLoS One,0.125861475,0.49790816,-3,A_ImpFac_PubNum_lag _3,0.49790816,0.125861475
47,A_ImpFac_PubNum,PLoS One,0.051273293,0.782459639,-2,A_ImpFac_PubNum_lag _2,0.782459639,0.051273293
48,A_ImpFac_PubNum,PLoS One,-0.036945185,0.842297233,-1,A_ImpFac_PubNum_lag _1,-0.842297233,0.036945185
49,A_ImpFac_PubNum,PLoS Biol,-0.158350679,0.393801007,-4,A_ImpFac_PubNum_lag _4,-0.393801007,0.158350679
50,A_ImpFac_PubNum,PLoS Biol,-0.389246356,0.036068374,-3,A_ImpFac_PubNum_lag _3,-0.036068374,0.389246356
51,A_ImpFac_PubNum,PLoS Biol,0.128243631,0.489808721,-2,A_ImpFac_PubNum_lag _2,0.489808721,0.128243631
52,A_ImpFac_PubNum,PLoS Biol,0.205743286,0.267878441,-1,A_ImpFac_PubNum_lag _1,0.267878441,0.205743286
53,A_ImpFac_PubNum,PLoS Med,0.028837641,0.876588403,-4,A_ImpFac_PubNum_lag _4,0.876588403,0.028837641
54,A_ImpFac_PubNum,PLoS Med,-0.092774168,0.617353811,-3,A_ImpFac_PubNum_lag _3,-0.617353811,0.092774168
55,A_ImpFac_PubNum,PLoS Med,-0.1879054,0.311585129,-2,A_ImpFac_PubNum_lag _2,-0.311585129,0.1879054
56,A_ImpFac_PubNum,PLoS Med,-0.127521945,0.492254974,-1,A_ImpFac_PubNum_lag _1,-0.492254974,0.127521945
57,A_ImpFac_PubNum,Front Neurosci,0.127595136,0.492006584,-4,A_ImpFac_PubNum_lag _4,0.492006584,0.127595136
58,A_ImpFac_PubNum,Front Neurosci,-0.136688052,0.461677335,-3,A_ImpFac_PubNum_lag _3,-0.461677335,0.136688052
59,A_ImpFac_PubNum,Front Neurosci,-0.568206368,0.00221422,-2,A_ImpFac_PubNum_lag _2,-0.00221422,0.568206368
60,A_ImpFac_PubNum,Front Neurosci,-0.133684696,0.471577874,-1,A_ImpFac_PubNum_lag _1,-0.471577874,0.133684696
61,A_ImpFac_PubNum,Sci Rep,-0.285955719,0.123580178,-4,A_ImpFac_PubNum_lag _4,-0.123580178,0.285955719
62,A_ImpFac_PubNum,Sci Rep,-0.004837716,0.979215946,-3,A_ImpFac_PubNum_lag _3,-0.979215946,0.004837716
63,A_ImpFac_PubNum,Sci Rep,0.337987936,0.06874062,-2,A_ImpFac_PubNum_lag _2,0.06874062,0.337987936
64,A_ImpFac_PubNum,Sci Rep,0.618826005,0.000860757,-1,A_ImpFac_PubNum_lag _1,0.000860757,0.618826005
65,A_ImpFac_PubNum,Front Psychiatry,-0.094598489,0.610451936,-4,A_ImpFac_PubNum_lag _4,-0.610451936,0.094598489
66,A_ImpFac_PubNum,Front Psychiatry,0.001730115,0.992566255,-3,A_ImpFac_PubNum_lag _3,0.992566255,0.001730115
